@relation handgrasp_object_detection

@attribute T_y real
@attribute T_p real
@attribute T_r real
@attribute I_y real
@attribute I_p real
@attribute I_r real
@attribute M_y real
@attribute M_p real
@attribute M_r real
@attribute R_y real
@attribute R_p real
@attribute R_r real
@attribute P_y real
@attribute P_p real
@attribute P_r real
@attribute B_y real
@attribute B_p real
@attribute B_r real
@attribute Class {bottle_hold,pen_hold,cup_carry,phone_answer,unleash_pen,screw_driver}

@data
240.64, 75.65, -16.30, 224.17, 68.08, -5.12, 202.43, -28.27, 4.67, 247.44, 58.56, 3.80,234.85, 78.83, -48.68,247.31, 63.81, -64.40,bottle_hold
240.54, 75.65, -16.36, 224.09, 68.11, -5.10, 202.41, -28.27, 4.66, 247.35, 58.57, 3.76,234.78, 78.83, -48.74,247.31, 63.81, -64.40,bottle_hold
240.41, 75.67, -16.44, 223.90, 68.08, -5.18, 202.41, -28.27, 4.63, 247.29, 58.58, 3.75,234.87, 78.82, -48.59,247.31, 63.81, -64.41,bottle_hold
240.41, 75.66, -16.37, 223.83, 68.07, -5.18, 202.40, -28.25, 4.59, 247.31, 58.59, 3.83,234.99, 78.78, -48.42,247.32, 63.79, -64.39,bottle_hold
240.40, 75.66, -16.31, 223.66, 68.06, -5.23, 202.38, -28.27, 4.57, 247.31, 58.56, 3.90,235.03, 78.77, -48.37,247.36, 63.79, -64.35,bottle_hold
240.30, 75.67, -16.38, 223.58, 68.08, -5.18, 202.37, -28.25, 4.58, 247.30, 58.52, 3.94,234.98, 78.78, -48.40,247.38, 63.77, -64.32,bottle_hold
240.24, 75.67, -16.37, 223.46, 68.11, -5.23, 202.36, -28.26, 4.58, 247.21, 58.57, 3.86,235.07, 78.77, -48.33,247.38, 63.80, -64.33,bottle_hold
240.18, 75.67, -16.39, 223.21, 68.14, -5.41, 202.34, -28.25, 4.57, 247.15, 58.61, 3.81,235.15, 78.77, -48.24,247.38, 63.81, -64.32,bottle_hold
240.04, 75.72, -16.48, 223.00, 68.17, -5.53, 202.34, -28.22, 4.58, 247.13, 58.61, 3.84,235.02, 78.79, -48.36,247.37, 63.83, -64.34,bottle_hold
239.99, 75.74, -16.48, 222.82, 68.16, -5.65, 202.34, -28.18, 4.58, 247.18, 58.55, 3.98,234.82, 78.81, -48.58,247.36, 63.84, -64.35,bottle_hold
239.84, 75.75, -16.59, 222.70, 68.18, -5.69, 202.33, -28.17, 4.58, 247.09, 58.63, 3.87,234.67, 78.83, -48.74,247.36, 63.85, -64.36,bottle_hold
239.85, 75.75, -16.52, 222.64, 68.21, -5.65, 202.31, -28.16, 4.58, 246.99, 58.66, 3.79,234.72, 78.80, -48.68,247.33, 63.87, -64.39,bottle_hold
239.76, 75.74, -16.55, 222.56, 68.23, -5.62, 202.30, -28.15, 4.58, 246.92, 58.70, 3.73,234.78, 78.79, -48.62,247.34, 63.87, -64.39,bottle_hold
239.60, 75.76, -16.65, 222.48, 68.22, -5.61, 202.27, -28.16, 4.56, 246.85, 58.69, 3.70,234.81, 78.80, -48.56,247.35, 63.88, -64.37,bottle_hold
239.52, 75.79, -16.68, 222.34, 68.20, -5.63, 202.23, -28.17, 4.55, 246.81, 58.68, 3.70,234.82, 78.81, -48.55,247.34, 63.89, -64.37,bottle_hold
239.49, 75.79, -16.61, 222.19, 68.18, -5.69, 202.19, -28.20, 4.55, 246.77, 58.63, 3.72,234.85, 78.81, -48.47,247.33, 63.89, -64.37,bottle_hold
239.47, 75.80, -16.54, 222.02, 68.17, -5.74, 202.16, -28.27, 4.52, 246.77, 58.57, 3.79,234.92, 78.80, -48.35,247.32, 63.89, -64.39,bottle_hold
239.42, 75.82, -16.51, 221.75, 68.21, -5.94, 202.14, -28.27, 4.52, 246.73, 58.56, 3.81,235.01, 78.78, -48.24,247.31, 63.91, -64.40,bottle_hold
239.32, 75.82, -16.56, 221.59, 68.24, -6.01, 202.13, -28.27, 4.50, 246.68, 58.58, 3.77,234.94, 78.78, -48.27,247.28, 63.91, -64.43,bottle_hold
239.29, 75.82, -16.51, 221.49, 68.27, -5.96, 202.12, -28.28, 4.47, 246.66, 58.55, 3.81,234.83, 78.78, -48.35,247.28, 63.91, -64.43,bottle_hold
239.32, 75.80, -16.39, 221.40, 68.26, -5.94, 202.12, -28.28, 4.43, 246.60, 58.55, 3.77,234.80, 78.76, -48.31,247.27, 63.91, -64.45,bottle_hold
239.12, 75.82, -16.55, 221.41, 68.25, -5.78, 202.10, -28.29, 4.44, 246.52, 58.58, 3.70,234.79, 78.76, -48.31,247.24, 63.92, -64.47,bottle_hold
238.95, 75.82, -16.65, 221.29, 68.26, -5.79, 202.08, -28.32, 4.42, 246.52, 58.55, 3.77,234.84, 78.75, -48.18,247.24, 63.92, -64.47,bottle_hold
238.93, 75.84, -16.60, 221.16, 68.31, -5.84, 202.06, -28.33, 4.40, 246.50, 58.53, 3.79,234.77, 78.75, -48.24,247.22, 63.92, -64.49,bottle_hold
238.89, 75.84, -16.57, 221.04, 68.31, -5.86, 202.05, -28.33, 4.39, 246.45, 58.59, 3.78,234.68, 78.75, -48.29,247.23, 63.91, -64.48,bottle_hold
238.72, 75.83, -16.70, 220.92, 68.31, -5.88, 202.05, -28.34, 4.39, 246.39, 58.59, 3.75,234.59, 78.76, -48.36,247.25, 63.91, -64.46,bottle_hold
238.68, 75.81, -16.68, 220.79, 68.32, -5.94, 202.04, -28.34, 4.38, 246.34, 58.64, 3.72,234.55, 78.76, -48.38,247.24, 63.91, -64.47,bottle_hold
238.59, 75.80, -16.73, 220.67, 68.34, -5.95, 202.04, -28.36, 4.36, 246.29, 58.61, 3.74,234.59, 78.74, -48.33,247.23, 63.91, -64.47,bottle_hold
238.51, 75.81, -16.74, 220.62, 68.35, -5.83, 202.02, -28.39, 4.35, 246.29, 58.62, 3.77,234.71, 78.72, -48.18,247.20, 63.93, -64.50,bottle_hold
238.23, 75.83, -17.01, 220.40, 68.34, -5.97, 202.02, -28.37, 4.33, 246.21, 58.68, 3.67,234.41, 78.76, -48.46,247.18, 63.93, -64.52,bottle_hold
238.00, 75.86, -17.21, 220.27, 68.35, -6.02, 202.02, -28.36, 4.31, 246.21, 58.70, 3.71,234.28, 78.78, -48.58,247.21, 63.92, -64.49,bottle_hold
237.89, 75.89, -17.25, 220.09, 68.36, -6.10, 202.02, -28.36, 4.30, 246.10, 58.77, 3.61,234.28, 78.80, -48.55,247.24, 63.91, -64.46,bottle_hold
